Abilify,abilify,aripiprazole,,,
Acetaminophen,acetaminophen,,,,
Adderall,adderall,addarall,addorall,adderal,aderall
Advil,advil,,,,
Albuterol,albuterol,albuteral,levalbuterol,,
Aleve,aleve,,,,
Alprazolam,alprazolam,,,,
Ambien,ambien,,,,
Antibiotics,antib,antibiotics,antibiotic,,
Aspirin,aspirin,,,,
Apomorphine,apomorphine,apomorhine,,,
Ativan,ativan,,,,
Benadryl,benadryl,,,,
Bonjela,bonjela,,,,
Botulinum toxin,botox,,,,
Calpol,calpol,,,,
Castor oil,castor oil,,,,
Celebrex,celebrex,,,,
Codeine,codeine,codemol,codeinn,,
DayQuil,dayquil,,,,
Decongestant,decongestant,,,,
Decongestant,decongestant,,,,
Depo-Provera,depo,,,,
Diazepam,diazepam,,,,
Diclectin,diclectin,,,,
Dilaudid,dilaudid,,,,
Entonox,entonox,,,,
Epidural,epidural,,,,
Fluticasone,flonase,,,,
Gaviscon,gaviscon,,,,
Gravol,gravol,,,,
Halls,halls,,,,
Ibuprofen,ibuprofen,,,,
Iinfacol,infacol,,,,
Inhaler,inhalers,,,,
Insulin,insulin,,,,
Klonopin,klonopin,,,,
Magnesium,magnesium,,,,
Melatonin,melatonin,,,,
Methadone,methadone,,,,
Midol,midol,,,,
Morphine,morphine,,,,
Motrin,motrin,,,,
Mucinex,mucinex,mucin x,,,
Multivitamin,multivitamin,,,,
Naproxen,naproxens,naproxen,,,
Nexplanon,nexplanon,,,,
Nitrous oxide,nitrous,,,,
NyQuil,nyquil,,,,
Oxycodone,oxycodone,,,,
Oxycontin,oxycontin ,oxys,pitocin,pictocin,
Oxycotton,oxycotton,,,,
Painkiller,painkillers,painkiller,,,
Panadol,panadol,,,,
Paracetamol,paracetamol,,,,
Pedialyte,pedialyte,,,,
Penicillin,penicillin,,,,
Pepto-Bismol,pepto-bismol,pepto bismol,peptobismol,,
Percocet,percocet,,,,
Phenergan,phenergan,phenergen,,,
Prednisone,prednisone,,,,
Prenatal vitamin,prenatal,prenatals,Prenatal vitamins,,
Prilosec OTC,prilosec,prilosec otc,,,
Prozac,prozac ,,,,
Rhinocort,rhinocort,,,,
RhoGAM,rhogam,,,,
Robitussin,robitussin,,,,
Steroid,steroids,steroid,,,
Sudafed,sudafed,,,,
Symbicort,symbicort,,,,
Tamiflu,tamiflu,,,,
Triamcinolone,triamcinolone,,,,
Tums,tum,tums,,,
Tylenol,tylenol,tylenol3,,,
Vaccine,vaccines,vaccine,tdap,,
Valium,valium,,,,
Ventolin,ventolin,,,,
Vicks,vicks,,,,
Vicks VapoRub,vaporub,,,,
Vicodin,vicodin,,,,
Vistaril,vastaril,vistaril,,,
Vitamin,vitamin,vitamin c,,,
Xanax,xanax,xans,xanox,xannx,xynax
Z-Pak,zpack,z-pak,z-pack,,
Zanaflex,zanaflex,,,,
Zantac,zantac,,,,
Zyrtec,zyrtec,,,,
Humira,humira,humora,humyra,,
Advair,advair,,,,
